Lugar de destino;Anual;Sexo;Edad;Medida;Valor;
Alcolea;2020;Hombres;De 65 y más años;Inmigraciones;5;
Alcolea;2020;Hombres;TOTAL;Inmigraciones;25;
Alcolea;2020;Mujeres;Menores de 16 años;Inmigraciones;4;
Alcolea;2020;Mujeres;De 16 a 39 años;Inmigraciones;9;
Alcolea;2020;Mujeres;De 40 a 64 años;Inmigraciones;9;
Alcolea;2020;Mujeres;De 65 y más años;Inmigraciones;2;
Alcolea;2020;Mujeres;TOTAL;Inmigraciones;24;
Alcolea;2020;Ambos sexos;Menores de 16 años;Inmigraciones;12;
Alcolea;2020;Ambos sexos;De 16 a 39 años;Inmigraciones;16;
Alcolea;2020;Ambos sexos;De 40 a 64 años;Inmigraciones;14;
Alcolea;2020;Ambos sexos;De 65 y más años;Inmigraciones;7;
Alcolea;2020;Ambos sexos;TOTAL;Inmigraciones;49;
Alcolea;2021;Hombres;Menores de 16 años;Inmigraciones;-;
Alcolea;2021;Hombres;De 16 a 39 años;Inmigraciones;5;
Alcolea;2021;Hombres;De 40 a 64 años;Inmigraciones;8;
Alcolea;2021;Hombres;De 65 y más años;Inmigraciones;1;
Alcolea;2021;Hombres;TOTAL;Inmigraciones;14;
Alcolea;2021;Mujeres;Menores de 16 años;Inmigraciones;3;
Alcolea;2021;Mujeres;De 16 a 39 años;Inmigraciones;6;
Alcolea;2021;Mujeres;De 40 a 64 años;Inmigraciones;5;
Alcolea;2021;Mujeres;De 65 y más años;Inmigraciones;1;
Alcolea;2021;Mujeres;TOTAL;Inmigraciones;15;
Alcolea;2021;Ambos sexos;Menores de 16 años;Inmigraciones;3;
Alcolea;2021;Ambos sexos;De 16 a 39 años;Inmigraciones;11;
