Territorio;Tipo de entidad de credito;Medida;Valor;
Tahal;Sucursales comunitarias;Nº de oficinas;-;
Tahal;Establecimientos financieros de credito;Nº de oficinas;-;
Tahal;TOTAL;Nº de oficinas;-;
Terque;Bancos;Nº de oficinas;-;
Terque;Cooperativas de credito;Nº de oficinas;1;
Terque;Sucursales comunitarias;Nº de oficinas;-;
Terque;Establecimientos financieros de credito;Nº de oficinas;-;
Terque;TOTAL;Nº de oficinas;1;
Tíjola;Bancos;Nº de oficinas;1;
Tíjola;Cooperativas de credito;Nº de oficinas;1;
Tíjola;Sucursales comunitarias;Nº de oficinas;-;
Tíjola;Establecimientos financieros de credito;Nº de oficinas;-;
Tíjola;TOTAL;Nº de oficinas;2;
Turre;Bancos;Nº de oficinas;-;
Turre;Cooperativas de credito;Nº de oficinas;1;
Turre;Sucursales comunitarias;Nº de oficinas;-;
Turre;Establecimientos financieros de credito;Nº de oficinas;-;
Turre;TOTAL;Nº de oficinas;1;
Turrillas;Bancos;Nº de oficinas;-;
Turrillas;Cooperativas de credito;Nº de oficinas;-;
Turrillas;Sucursales comunitarias;Nº de oficinas;-;
Turrillas;Establecimientos financieros de credito;Nº de oficinas;-;
Turrillas;TOTAL;Nº de oficinas;-;
Uleila del Campo;Bancos;Nº de oficinas;-;
Uleila del Campo;Cooperativas de credito;Nº de oficinas;1;
Uleila del Campo;Sucursales comunitarias;Nº de oficinas;-;
Uleila del Campo;Establecimientos financieros de credito;Nº de oficinas;-;
Uleila del Campo;TOTAL;Nº de oficinas;1;
Urrácal;Bancos;Nº de oficinas;-;
Urrácal;Cooperativas de credito;Nº de oficinas;-;
Urrácal;Sucursales comunitarias;Nº de oficinas;-;
Urrácal;Establecimientos financieros de credito;Nº de oficinas;-;
Urrácal;TOTAL;Nº de oficinas;-;
Velefique;Bancos;Nº de oficinas;-;
Velefique;Cooperativas de credito;Nº de oficinas;-;
Velefique;Sucursales comunitarias;Nº de oficinas;-;
Velefique;Establecimientos financieros de credito;Nº de oficinas;-;
Velefique;TOTAL;Nº de oficinas;-;
Velez-Blanco;Bancos;Nº de oficinas;-;
Velez-Blanco;Cooperativas de credito;Nº de oficinas;1;
Velez-Blanco;Sucursales comunitarias;Nº de oficinas;-;
Velez-Blanco;Establecimientos financieros de credito;Nº de oficinas;-;
Velez-Blanco;TOTAL;Nº de oficinas;1;
Velez-Rubio;Bancos;Nº de oficinas;2;
Velez-Rubio;Cooperativas de credito;Nº de oficinas;1;
Velez-Rubio;Sucursales comunitarias;Nº de oficinas;-;
Velez-Rubio;Establecimientos financieros de credito;Nº de oficinas;-;
Velez-Rubio;TOTAL;Nº de oficinas;3;
Vera;Bancos;Nº de oficinas;7;
Vera;Cooperativas de credito;Nº de oficinas;2;
Vera;Sucursales comunitarias;Nº de oficinas;-;
Vera;Establecimientos financieros de credito;Nº de oficinas;-;
